data_pregao,sigla_acao,nome_acao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,volume_negocios
2023-01-02,NEOE3,NEOENERGIA,15.4,15.4,14.98,15.03,325000.0,490215100.0
2023-01-02,NEXP3,NEXPE,0.31,0.31,0.29,0.3,197700.0,5898000.0
2023-01-02,NGRD3,NEOGRID,1.48,1.5,1.43,1.45,589900.0,86150900.0
2023-01-02,NINJ3,GETNINJAS,2.7,2.79,2.69,2.71,76000.0,20792600.0
2023-01-02,NORD3,NORDON MET,8.48,9.0,8.48,8.5,2700.0,2314300.0
2023-01-02,TTEN3,3TENTOS,9.65,9.65,9.07,9.36,701700.0,648253300.0
2023-01-02,TUPY3,TUPY,27.71,27.71,25.83,26.57,573000.0,1511380400.0
2023-01-02,UCAS3,UNICASA,2.55,2.55,2.47,2.49,9600.0,2401600.0
2023-01-02,UGPA3,ULTRAPAR,12.4,12.52,11.85,11.95,2973300.0,3572179500.0
2023-01-02,ALUP11,ALUPAR,27.93,28.24,27.2,27.67,795800.0,2200878800.0
2023-01-02,DMVF3,D1000VFARMA,4.0,4.07,3.95,3.99,7500.0,3017400.0
2023-01-02,DOHL4,DOHLER,4.24,4.29,4.21,4.26,1700.0,719600.0
2023-01-02,DOTZ3,DOTZ SA,1.29,1.29,1.23,1.27,29400.0,3663800.0
2023-01-02,DXCO3,DEXCO,6.69,6.69,6.45,6.63,1491800.0,980314700.0
2023-01-02,EALT4,ACO ALTONA,6.71,6.94,6.56,6.56,46000.0,30887600.0
2023-01-02,PORT3,WILSON SONS,10.82,11.02,10.58,10.6,115700.0,123348400.0
2023-01-02,POSI3,POSITIVO TEC,9.39,9.4,8.66,8.82,1761000.0,1564475400.0
2023-01-02,PRIO3,PETRORIO,36.88,37.66,36.45,36.76,6577200.0,24255931200.0
2023-01-02,SYNE3,SYN PROP TEC,4.13,4.13,4.0,4.06,857000.0,347935200.0
2023-01-02,BLAU3,BLAU,28.0,28.0,25.23,26.03,141000.0,365797400.0
2023-01-02,ABEV3,AMBEV S/A,14.4,14.45,14.02,14.19,14995900.0,21285685100.0
2023-01-02,BRGE11,ALFA CONSORC,8.9,8.9,8.9,8.9,100.0,89000.0
2023-01-02,BRIT3,BRISANET,2.73,2.73,2.52,2.54,830500.0,211349800.0
2023-01-02,BRIV3,ALFA INVEST,9.0,9.0,9.0,9.0,100.0,90000.0
2023-01-02,BRIV4,ALFA INVEST,9.29,9.29,8.5,8.99,1900.0,1653100.0
2023-01-02,BRKM3,BRASKEM,24.97,24.97,24.06,24.96,9400.0,23099600.0
2023-01-02,BRKM5,BRASKEM,23.86,23.86,22.88,23.22,1345700.0,3123548200.0
2023-01-02,BRML3,BR MALLS PAR,8.2,8.21,7.98,8.03,8134100.0,6550442000.0
2023-01-02,BRPR3,BR PROPERT,6.42,6.42,6.29,6.33,1297900.0,820937700.0
2023-01-02,DASA3,DASA,13.66,13.69,12.83,13.38,396900.0,524958800.0
2023-01-02,ODPV3,ODONTOPREV,9.0,9.02,8.69,8.89,836500.0,740496300.0
2023-01-02,OFSA3,OUROFINO S/A,23.77,24.01,23.65,23.65,8300.0,19639100.0
2023-01-02,OIBR3,OI,0.17,0.18,0.17,0.17,43178300.0,748225800.0
2023-01-02,OIBR4,OI,0.52,0.54,0.51,0.53,1350700.0,71523800.0
2023-01-02,ONCO3,ONCOCLINICAS,5.95,5.96,5.54,5.79,1937800.0,1101961200.0
2023-01-02,PFRM3,PROFARMA,3.63,3.63,3.48,3.48,132100.0,46477400.0
2023-01-02,SEER3,SER EDUCA,4.4,4.4,4.23,4.36,497800.0,213585200.0
2023-01-02,SEQL3,SEQUOIA LOG,3.01,3.07,2.81,2.93,2604100.0,757068000.0
2023-01-02,SGPS3,SPRINGS,1.38,1.38,1.24,1.27,222100.0,28448700.0
2023-01-02,SHOW3,TIME FOR FUN,2.35,2.45,2.3,2.45,131500.0,31156700.0
2023-01-02,SHUL4,SCHULZ,4.7,4.71,4.51,4.62,390100.0,178714700.0
2023-01-02,SIMH3,SIMPAR,6.65,6.65,6.21,6.33,2999600.0,1894721300.0
2023-01-02,SLCE3,SLC AGRICOLA,45.94,46.17,45.01,45.94,731200.0,3342643600.0
2023-01-02,ALUP3,ALUPAR,9.59,9.59,8.92,9.05,16200.0,14610700.0
2023-01-02,ALUP4,ALUPAR,9.63,9.63,9.1,9.1,8400.0,7782700.0
2023-01-02,AMAR3,LOJAS MARISA,1.24,1.25,1.17,1.25,4320500.0,520344500.0
2023-01-02,AMBP3,AMBIPAR,20.53,20.53,19.71,20.34,885900.0,1775669300.0
2023-01-02,AMER3,AMERICANAS,9.47,9.51,8.97,9.03,16237300.0,14843793800.0
2023-01-02,MEAL3,IMC S/A,2.8,2.81,2.67,2.81,976900.0,269089600.0
2023-01-02,MEGA3,OMEGAENERGIA,9.48,9.48,8.98,8.98,990100.0,895933000.0
2023-01-02,MELK3,MELNICK,3.25,3.25,2.95,2.97,1099600.0,332590000.0
2023-01-02,MGEL4,MANGELS INDL,12.1,12.14,12.01,12.01,2600.0,3141000.0
2023-01-02,MGLU3,MAGAZ LUIZA,2.65,2.66,2.55,2.59,70129500.0,18162427900.0
2023-01-02,RAIZ4,RAIZEN,3.69,3.71,3.51,3.54,9470500.0,3382517400.0
2023-01-02,FESA3,FERBASA,60.0,60.0,58.5,59.0,500.0,2975000.0
2023-01-02,FESA4,FERBASA,53.46,53.55,50.37,52.03,190600.0,985281900.0
2023-01-02,FHER3,FER HERINGER,17.26,17.28,17.0,17.16,135000.0,230797200.0
2023-01-02,ANIM3,ANIMA,3.82,3.84,3.64,3.8,4216800.0,1580031400.0
2023-01-02,APER3,ALPER S.A.,26.99,27.0,25.88,25.88,10000.0,26650600.0
2023-01-02,ARML3,ARMAC,11.74,11.74,10.21,10.44,565900.0,593038300.0
2023-01-02,ARZZ3,AREZZO CO,77.89,77.89,72.51,74.12,1008600.0,7459368000.0
2023-01-02,ASAI3,ASSAI,19.0,19.17,18.55,18.99,4837200.0,9129295800.0
2023-01-02,ATOM3,ATOMPAR,2.48,2.49,2.39,2.4,7100.0,1730900.0
2023-01-02,ESTR4,ESTRELA,39.99,39.99,39.99,39.99,500.0,1999500.0
2023-01-02,EUCA3,EUCATEX,11.95,12.49,11.95,12.2,11400.0,13675100.0
2023-01-02,EUCA4,EUCATEX,8.52,8.6,8.34,8.46,127200.0,107586100.0
2023-01-02,EVEN3,EVEN,4.57,4.57,4.28,4.33,2082900.0,908710800.0
2023-01-02,EZTC3,EZTEC,13.26,13.29,12.71,12.88,1772400.0,2284203100.0
2023-01-02,TAEE11,TAESA,34.68,34.97,34.1,34.34,1609500.0,5530111800.0
2023-01-02,TAEE3,TAESA,11.63,11.7,11.36,11.56,207400.0,237556400.0
2023-01-02,TAEE4,TAESA,11.75,11.75,11.41,11.62,357200.0,410745500.0
2023-01-02,TASA3,TAURUS ARMAS,13.18,13.18,12.04,12.12,124800.0,155382200.0
2023-01-02,TASA4,TAURUS ARMAS,13.05,13.23,12.11,12.41,1327700.0,1674299900.0
2023-01-02,TCSA3,TECNISA,2.65,2.65,2.53,2.57,81900.0,21012800.0
2023-01-02,TECN3,TECHNOS,2.1,2.21,2.1,2.15,203800.0,43975800.0
2023-01-02,TELB4,TELEBRAS,10.15,10.15,9.75,10.12,6900.0,6878000.0
2023-01-02,TEND3,TENDA,4.15,4.21,3.96,4.1,1905900.0,773018700.0
2023-01-02,JALL3,JALLESMACHAD,7.5,7.5,6.94,7.1,644500.0,457727400.0
2023-01-02,JBSS3,JBS,21.99,22.03,21.15,21.45,3552200.0,7610287600.0
2023-01-02,MWET4,WETZEL S/A,9.99,10.1,9.99,10.07,800.0,804800.0
2023-01-02,MYPK3,IOCHP-MAXION,11.63,11.66,11.29,11.48,962900.0,1096836800.0
2023-01-02,AERI3,AERIS,1.12,1.12,1.05,1.07,3075400.0,329803100.0
2023-01-02,AESB3,AES BRASIL,9.65,9.67,9.46,9.5,1793300.0,1710566700.0
2023-01-02,AFLT3,AFLUENTE T,9.4,9.4,9.28,9.3,700.0,651600.0
2023-01-02,AGRO3,BRASILAGRO,29.96,30.09,28.6,29.11,357300.0,1038914300.0
2023-01-02,AGXY3,AGROGALAXY,9.85,9.9,9.71,9.82,151400.0,148633900.0
2023-01-02,ALLD3,ALLIED,5.85,6.02,5.7,5.8,43900.0,25545000.0
2023-01-02,ALPA3,ALPARGATAS,11.61,11.7,11.6,11.7,2700.0,3145900.0
2023-01-02,ALPA4,ALPARGATAS,14.93,14.97,14.15,14.33,2121600.0,3054636000.0
2023-01-02,ALPK3,ESTAPAR,1.56,1.59,1.51,1.59,25500.0,3925100.0
2023-01-02,ALSO3,ALIANSCSONAE,16.79,16.82,16.1,16.28,1984100.0,3232467800.0
2023-01-02,BBSE3,BBSEGURIDADE,33.35,33.78,33.03,33.39,2509400.0,8398094300.0
2023-01-02,BRSR3,BANRISUL,10.71,10.71,10.51,10.63,3400.0,3618200.0
2023-01-02,LOGG3,LOG COM PROP,16.0,16.01,15.35,15.39,193700.0,300565800.0
2023-01-02,LOGN3,LOG-IN,35.46,36.66,32.55,36.66,252200.0,870722800.0
2023-01-02,LPSB3,LOPES BRASIL,1.8,1.83,1.74,1.8,93500.0,16605300.0
2023-01-02,LREN3,LOJAS RENNER,20.27,20.33,19.06,19.33,7901100.0,15306097800.0
2023-01-02,OPCT3,OCEANPACT,2.75,2.92,2.74,2.86,419500.0,117853200.0
2023-01-02,ORVR3,ORIZON,33.42,33.42,30.85,31.35,357200.0,1124399200.0
2023-01-02,OSXB3,OSX BRASIL,6.5,6.6,6.5,6.6,1500.0,980000.0
2023-01-02,SMFT3,SMART FIT,13.41,13.41,12.48,12.73,624400.0,797725500.0
2023-01-02,SMTO3,SAO MARTINHO,25.82,25.82,23.05,23.5,3196600.0,7587447100.0
